Iteration	M	a	b	e	h	
354	21590.0	0.1066	0.007934	5.01E-4	0.3771	
355	32790.0	0.1055	0.01267	5.873E-4	0.2791	
356	53010.0	0.1058	0.01112	4.711E-4	0.4481	
357	55760.0	0.1054	0.009479	5.552E-4	0.41	
358	57960.0	0.1054	0.01958	4.168E-4	0.4375	
359	20790.0	0.1055	0.02001	5.074E-4	0.3442	
360	5.8E+4	0.1043	0.01944	4.381E-4	0.3204	
361	28820.0	0.104	0.01705	4.995E-4	0.4077	
362	58020.0	0.1053	0.01425	4.38E-4	0.4215	
363	49220.0	0.1051	0.00951	4.382E-4	0.4298	
364	59690.0	0.1048	0.01149	4.69E-4	0.476	
365	58240.0	0.1051	0.01144	4.269E-4	0.573	
366	55730.0	0.1065	0.008533	4.269E-4	0.6254	
367	58290.0	0.1059	0.01237	4.725E-4	0.3649	
368	46010.0	0.1053	0.01234	4.989E-4	0.3882	
369	50390.0	0.105	0.01224	4.904E-4	0.3258	
370	6.0E+4	0.105	0.005378	4.737E-4	0.4525	
371	44220.0	0.1048	0.003323	4.837E-4	0.4275	
372	27120.0	0.1078	0.003862	4.449E-4	0.6388	
373	52540.0	0.1061	0.00648	4.638E-4	0.2703	
374	37560.0	0.1045	0.00623	5.167E-4	0.2742	
375	59070.0	0.1073	0.006221	4.778E-4	0.6571	
376	30670.0	0.1049	0.009168	3.543E-4	0.6203	
377	50620.0	0.1051	0.006199	3.875E-4	0.379	
378	58960.0	0.107	0.004926	5.987E-4	0.312	
379	51610.0	0.1064	0.00741	4.733E-4	0.2795	
380	43870.0	0.1052	0.006477	5.076E-4	0.2877	
381	54690.0	0.1066	0.0114	5.375E-4	0.5686	
382	17650.0	0.108	0.01054	4.192E-4	0.5148	
383	58250.0	0.1064	0.01093	5.339E-4	0.2699	
384	59750.0	0.1056	0.01216	5.136E-4	0.3409	
385	59820.0	0.1043	0.01233	4.377E-4	0.4309	
386	23740.0	0.1065	0.008588	4.277E-4	0.3923	
387	59850.0	0.1058	0.01023	3.871E-4	0.5292	
388	59420.0	0.1054	0.009009	4.797E-4	0.3357	
389	51830.0	0.1048	0.008326	6.498E-4	0.329	
390	44040.0	0.1041	0.0158	4.651E-4	0.3145	
391	55430.0	0.1062	0.004856	4.901E-4	0.4588	
392	58390.0	0.1053	0.007452	4.845E-4	0.3356	
393	6.0E+4	0.1051	0.008215	5.103E-4	0.3326	
394	58020.0	0.1066	0.007164	4.69E-4	0.3531	
395	37500.0	0.1057	0.008878	4.829E-4	0.3929	
396	54230.0	0.1054	0.009205	5.035E-4	0.4008	
397	17590.0	0.1064	0.008196	5.973E-4	0.3009	
398	47370.0	0.107	0.009887	4.298E-4	0.6182	
399	40260.0	0.1048	0.009848	5.483E-4	0.3856	
400	42530.0	0.1074	0.00887	4.409E-4	0.3997	
401	42110.0	0.1059	0.008545	5.054E-4	0.4097	
402	48400.0	0.1054	0.005839	4.834E-4	0.3011	
403	17030.0	0.1059	0.006107	4.944E-4	0.2905	
404	59640.0	0.1057	0.005886	5.275E-4	0.4573	
405	22670.0	0.1063	0.009188	3.506E-4	0.4323	
406	54450.0	0.1061	0.008206	4.586E-4	0.5317	
407	-939.6	0.1053	0.01056	4.461E-4	0.2497	
408	48680.0	0.1052	0.009914	5.281E-4	0.3649	
409	57960.0	0.1062	0.01343	4.467E-4	0.3092	
410	49960.0	0.1063	0.009904	4.653E-4	0.3513	
411	58160.0	0.1045	0.00731	4.275E-4	0.4349	
412	57350.0	0.1047	0.01237	4.66E-4	0.4073	
413	45630.0	0.1043	0.01227	4.934E-4	0.4346	
414	55250.0	0.1068	0.01052	5.009E-4	0.5419	
415	35880.0	0.1059	0.01095	4.901E-4	0.2582	
